Station Id,Station Name,Frequency,Average of Distance,Average of Trip Duration (s),Latitude,Longitude
7115,Howard St / Sherbourne St,5232,1.882323113,797.6204128,43.6712581,-79.376367
7126,Yonge St / Yorkville Ave,5086,2.017758341,1206.581203,43.671944,-79.387778
7158,King St W / Stafford St,5082,1.676011987,924.2955529,43.6422222,-79.41111111
7007,College St / Huron St,5018,,679.3848147,43.658148,-79.398167
7055,Jarvis St / Carlton St,5003,1.489689467,885.1061363,43.66207,-79.37617
7035,Queen St W / Ossington Ave,4998,2.247234251,1241.055822,43.643975,-79.419576
7029,Bay St / Bloor St W,4958,1.810547396,770.7152077,43.66943,-79.38915
7040,Euclid Ave / Bloor St W,4896,1.895555837,1018.728758,43.664467,-79.414783
7153,Bloor St W / Christie St,4844,1.963175289,1041.171552,43.6638889,-79.41888889
7002,St. George St / Bloor St W,4797,,828.5939129,43.667333,-79.399429
7089,Church St  / Wood St,4744,1.391001482,714.7325042,43.662712,-79.379903
7027,Beverly  St / Dundas St W,4716,1.406635428,715.8740458,43.652823,-79.393388
7193,Queen St W / Gladstone Ave,4706,2.392456708,1068.342116,43.64305556,-79.4275
7024,Dundonald St / Church St,4601,1.59230564,730.9213215,43.66663,-79.38148
7152,Ossington Ave / Bloor St W,4585,2.278594603,919.7917121,43.661705,-79.425734
7039,Simcoe St / Dundas St W,4472,1.307410934,641.299195,43.65232722,-79.38825382
7007,College St W / Huron St,4336,1.456629082,640.5901753,43.658148,-79.398167
7099,Cherry St / Mill St,4299,1.972181953,1494.859967,43.651248,-79.357848
7005,University Ave / King St W,4254,1.521375966,713.1495063,43.6480008,-79.383177
7172,Strachan Ave / Princes' Blvd,4203,1.761593195,1870.467761,43.635,-79.40888889
7197,Queen St W / Dovercourt Rd,4161,2.344276386,1055.422975,43.64361111,-79.4225
7056,Parliament St / Gerrard St,4159,1.614232989,826.7114691,43.662132,-79.3656796
7051,Wellesley St E / Yonge St (Green P),4135,,785.5206771,43.66506,-79.38357
7048,Front St W / Yonge St (Hockey Hall of Fame),4072,,1222.958743,43.646144,-79.377962
7114,Carlton St / Parliament St,4024,1.64107315,709.1384195,43.664524,-79.36793
7064,51 Parliament St,3997,1.665129116,1054.889667,43.65205,-79.362198
