Date,Quarter,Month,Frequency,Day of Week,trip_duration_seconds,Distance,Ave_duration,Ave_disdance
2017-03-09,1,March,2212,Thu,1393491,279430.0,629.9688065099458,126.3245931283906
2017-03-10,1,March,1740,Fri,1059913,200730.0,609.1454022988506,115.36206896551724
2017-03-11,1,March,715,Sat,430749,114516.0,602.4461538461538,160.16223776223777
2017-03-12,1,March,635,Sun,369384,160770.0,581.7070866141732,253.1811023622047
2017-03-13,1,March,1032,Mon,628311,127335.0,608.828488372093,123.38662790697674
2017-03-14,1,March,553,Tue,366042,59743.0,661.9204339963834,108.03435804701627
2017-03-15,1,March,857,Wed,542467,88272.0,632.9836639439907,103.00116686114352
2017-03-16,1,March,1543,Thu,1031723,171325.0,668.6474400518471,111.03370058327933
2017-03-17,1,March,1941,Fri,1331361,326461.0,685.9149922720247,168.19216898505925
2017-03-18,1,March,826,Sat,578775,211674.0,700.6961259079903,256.2639225181598
2017-03-19,1,March,1096,Sun,923960,276801.0,843.029197080292,252.55565693430657
2017-03-20,1,March,2100,Mon,1357636,296296.0,646.4933333333333,141.09333333333333
2017-03-21,1,March,2727,Tue,1875489,469807.0,687.7480748074807,172.27979464613128
2017-03-22,1,March,1738,Wed,1097511,173562.0,631.4792865362485,99.86306098964327
2017-03-23,1,March,2015,Thu,1367489,242014.0,678.6545905707196,120.10620347394541
2017-03-24,1,March,1831,Fri,1239351,267906.0,676.8711086837793,146.3167667941016
2017-03-25,1,March,920,Sat,679589,180972.0,738.6836956521739,196.7086956521739
2017-03-26,1,March,874,Sun,577618,203833.0,660.8901601830663,233.21853546910756
2017-03-27,1,March,2137,Mon,1512043,341716.0,707.5540477304633,159.90453907346748
2017-03-28,1,March,2710,Tue,1894577,486852.0,699.1059040590405,179.65018450184502
2017-03-29,1,March,2717,Wed,1874309,425414.0,689.845049687155,156.5748987854251
2017-03-30,1,March,2086,Thu,1374833,329724.0,659.0762224352828,158.06519654841802
2017-03-31,1,March,851,Fri,509799,79272.0,599.0587544065805,93.15158636897768
2017-04-01,2,April,1418,Sat,1280492,303382.0,903.0267983074754,213.950634696756
2017-04-02,2,April,2158,Sun,2639980,597951.0,1223.3456904541242,277.08572752548656
2017-04-03,2,April,2368,Mon,1670744,395050.0,705.5506756756756,166.8285472972973
2017-04-04,2,April,1186,Tue,756247,132610.0,637.6450252951096,111.81281618887016
2017-04-05,2,April,2811,Wed,1996777,419702.0,710.3440056919246,149.30700818214157
2017-04-06,2,April,1119,Thu,700902,119849.0,626.3646112600536,107.10366398570152
2017-04-07,2,April,1573,Fri,1058975,195654.0,673.2199618563255,124.38270820089002
2017-04-08,2,April,2373,Sat,2813292,613959.0,1185.5423514538559,258.7269279393173
2017-04-09,2,April,2352,Sun,2802928,714938.0,1191.7210884353742,303.9702380952381
2017-04-10,2,April,3176,Mon,2579383,576707.0,812.1482997481108,181.58280856423173
2017-04-11,2,April,3596,Tue,2910087,617599.0,809.2566740823137,171.746106785317
2017-04-12,2,April,3042,Wed,2200716,467566.0,723.4437869822485,153.7034845496384
2017-04-13,2,April,3287,Thu,2605155,535828.0,792.5631274718588,163.014298752662
2017-04-14,2,April,3028,Fri,4660265,679222.0,1539.0571334214003,224.31373844121532
2017-04-15,2,April,1786,Sat,1948666,307158.0,1091.0783874580068,171.98096304591266
2017-04-16,2,April,2479,Sun,3271637,456561.0,1319.7406212182332,184.17144009681323
2017-04-17,2,April,2998,Mon,2690125,446752.0,897.3065376917946,149.01667778519013
2017-04-18,2,April,3075,Tue,2355349,360083.0,765.9671544715447,117.10016260162601
2017-04-19,2,April,2979,Wed,2161198,356710.0,725.4776770728432,119.74152400134274
2017-04-20,2,April,1880,Thu,1267189,193963.0,674.0367021276596,103.1718085106383
2017-04-21,2,April,2807,Fri,2285838,450927.0,814.3348770929819,160.64374777342357
2017-04-22,2,April,2725,Sat,3318025,714512.0,1217.6238532110092,262.2062385321101
2017-04-23,2,April,3080,Sun,4399504,696341.0,1428.4103896103895,226.08474025974027
2017-04-24,2,April,3344,Mon,2809514,464155.0,840.1656698564593,138.80233253588517
2017-04-25,2,April,2143,Tue,1465076,231731.0,683.6565562295847,108.13392440503966
2017-04-26,2,April,3336,Wed,2786939,488328.0,835.4133693045563,146.38129496402877
2017-04-27,2,April,3820,Thu,3434410,493539.0,899.0602094240837,129.19869109947643
2017-04-28,2,April,3378,Fri,2852280,447453.0,844.3694493783304,132.46092362344584
2017-04-29,2,April,2774,Sat,3316829,484896.0,1195.6845710165826,174.80028839221342
2017-04-30,2,April,1394,Sun,1120255,169424.0,803.6262553802009,121.53802008608321
2017-05-01,2,May,1401,Mon,950084,172472.0,678.1470378301213,123.10635260528194
2017-05-02,2,May,2575,Tue,1723423,262565.0,669.2904854368932,101.96699029126214
2017-05-03,2,May,3825,Wed,3325166,430140.0,869.3244444444445,112.45490196078431
2017-05-04,2,May,2275,Thu,1771933,242377.0,778.8716483516483,106.53934065934065
2017-05-05,2,May,654,Fri,421609,55561.0,644.6620795107034,84.95565749235475
2017-05-06,2,May,1526,Sat,1145172,197593.0,750.440366972477,129.48427260812582
2017-05-07,2,May,2035,Sun,1988241,317260.0,977.0226044226044,155.9017199017199
2017-05-08,2,May,3284,Mon,2559088,296408.0,779.2594397076736,90.25822168087699
2017-05-09,2,May,3669,Tue,2760112,406963.0,752.2790951212864,110.91932406650314
2017-05-10,2,May,3618,Wed,2680051,353831.0,740.7548369264787,97.79740187949143
2017-05-11,2,May,3623,Thu,2690509,402950.0,742.6191001932101,111.21998343913883
2017-05-12,2,May,3835,Fri,2891290,392690.0,753.9217731421121,102.39634941329857
2017-05-13,2,May,3039,Sat,3454413,520408.0,1136.6939782823297,171.24317209608424
2017-05-14,2,May,2363,Sun,2724002,401846.0,1152.7727465086755,170.05755395683454
2017-05-15,2,May,4060,Mon,3599817,377602.0,886.654433497537,93.00541871921182
2017-05-16,2,May,3815,Tue,3025058,353392.0,792.937876802097,92.63224115334206
2017-05-17,2,May,4639,Wed,4355259,470259.0,938.8357404613063,101.37076956240568
2017-05-18,2,May,4565,Thu,3931616,515959.0,861.2521358159912,113.0249726177437
2017-05-19,2,May,4188,Fri,3511704,385862.0,838.5157593123209,92.13514804202484
2017-05-20,2,May,3352,Sat,4462056,480540.0,1331.162291169451,143.35918854415274
2017-05-21,2,May,1357,Sun,1194174,117290.0,880.0103168754606,86.43330876934414
2017-05-22,2,May,2691,Mon,4009154,345844.0,1489.837978446674,128.5187662578967
2017-05-23,2,May,4238,Tue,3570859,392144.0,842.581170363379,92.5304388862671
2017-05-24,2,May,4656,Wed,3853563,378351.0,827.6552835051547,81.26095360824742
2017-05-25,2,May,1418,Thu,950022,171814.0,669.9732016925246,121.16643159379407
2017-05-26,2,May,3896,Fri,3112389,261347.0,798.8678131416838,67.08085215605749
2017-05-27,2,May,3960,Sat,4849542,494513.0,1224.6318181818183,124.8770202020202
2017-05-28,2,May,4676,Sun,6179903,602970.0,1321.6216852010266,128.94995722840034
2017-05-29,2,May,4694,Mon,4513454,396135.0,961.5368555602897,84.39177673625906
2017-05-30,2,May,4083,Tue,3255653,338170.0,797.3678667646338,82.82390399216263
2017-05-31,2,May,4901,Wed,4243020,405346.0,865.7457661701693,82.70679453172822
2017-06-01,2,June,5018,Thu,4117848,381662.0,820.6153846153846,76.05858907931447
2017-06-02,2,June,5112,Fri,4395793,487369.0,859.8969092331769,95.33822378716745
2017-06-03,2,June,4916,Sat,6929613,736309.0,1409.603946297803,149.7780716029292
2017-06-04,2,June,3186,Sun,3531967,390289.0,1108.5897677338355,122.50125549278091
2017-06-05,2,June,4178,Mon,3342256,319190.0,799.9655337482048,76.39779798946864
2017-06-06,2,June,3026,Tue,2154860,140833.0,712.1150033046927,46.54097818902842
2017-06-07,2,June,5096,Wed,4373489,446727.0,858.2199764521193,87.662284144427
2017-06-08,2,June,5499,Thu,5079816,490502.0,923.7708674304419,89.198399709038
2017-06-09,2,June,5522,Fri,4862281,394363.0,880.5289750090546,71.41669684896776
2017-06-10,2,June,4933,Sat,7320169,575295.0,1483.918305290898,116.62173119805392
